V2,V4,X,X.1
ZNF263,APBB2,0.3855135,0.286145944
ZNF263,LINC01089,0.3495132,0.250065794
ZNF263,RHOC,0.2389364,0.139243698
ZNF263,SMAD3,0.2640267,0.164389655
ZNF263,SMAD7,0.1200890,0.020132761
ZNF263,ARSB,0.1299092,0.029974752
ZNF263,MARK1,0.1636751,0.063815468
ZNF263,MBD1,0.3168673,0.217347442
ZNF263,THAP7-AS1,0.1456620,0.045762404
ZNF263,MST1,0.2693812,0.169756053
ZNF263,NFKBIB,0.4494967,0.350270977
ZNF263,NFKBIL1,0.5700119,0.471053540
ZNF263,NPAT,0.5508313,0.451830409
ZNF263,CSAD,0.2602465,0.160601113
ZNF263,MED15,0.1679064,0.068056193
ZNF263,NSG2,0.1113796,0.011404004
ZNF263,PLAUR,0.1999864,0.100207374
ZNF263,C21orf62-AS1,0.1162736,0.016308904
ZNF263,POLR2A,0.1124347,0.012461482
ZNF263,NLE1,0.1289910,0.029054449
ZNF263,GNB1L,0.1147296,0.014761441
ZNF263,PPIC,0.2511695,0.151503912
ZNF263,WBP1L,0.1832080,0.083391695
ZNF263,POLR2J3,0.1830921,0.083275566
ZNF263,THG1L,0.1894868,0.089684458
ZNF263,WRAP53,0.4072965,0.307977228
ZNF263,LRRC1,0.1196539,0.019696680
ZNF263,YJU2,0.6038407,0.504957332
ZNF263,CENPN,0.1268012,0.026859786
ZNF263,ERBIN,0.2799839,0.180382304
ZNF263,PROX1,0.1719778,0.072136607
ZNF263,POGK,0.3352896,0.235810642
ZNF263,PTPN4,0.1066817,0.006695718
ZNF263,ZFAND3,0.1609020,0.061036240
ZNF263,BCR,0.2210683,0.121336016
ZNF263,RPL38,0.2287706,0.129055403
ZNF263,CEACAM1,0.1861837,0.086373988
ZNF263,SRSF2,0.1096283,0.009648814
ZNF263,SDHAF1,0.2255081,0.125785632
ZNF263,SPATA20,0.1788034,0.078977393
ZNF263,VPS33A,0.1017063,0.001709294
ZNF263,KLF9,0.1279408,0.028001948
ZNF263,PPP1R11,0.1224060,0.022454885
ZNF263,TFDP1,0.4952566,0.396132363
ZNF263,TGIF1,0.6479773,0.549191865
ZNF263,TIAL1,0.1934381,0.093644525
ZNF263,TLR5,0.4474460,0.348215728
ZNF263,TP53,0.5763061,0.477361671
ZNF263,TPD52L2,0.1189653,0.019006584
ZNF263,C3,0.3705414,0.271140652
ZNF263,ZFAND5,0.1531379,0.053254895
ZNF263,MFSD11,0.1252157,0.025270829
ZNF263,C1orf35,0.3466555,0.247201741
ZNF263,PAGR1,0.2412345,0.141546934
ZNF263,RTL10,0.3095425,0.210006396
ZNF263,ZNF668,0.2877844,0.188200106
ZNF263,DNAJC22,0.1411949,0.041285411
ZNF263,THAP7,0.1900275,0.090226386
ZNF263,ZNF34,0.1575234,0.057650140
ZNF263,TRIM11,0.1560229,0.056146324
ZNF263,PPP1R14C,0.3450795,0.245622239
ZNF263,ARPC5L,0.2832476,0.183653217
ZNF263,LZTR1,0.1287905,0.028853496
ZNF263,TRAPPC9,0.1257031,0.025759237
ZNF263,TMEM164,0.2877961,0.188211758
ZNF263,MEX3B,0.5988013,0.499906722
ZNF263,CAMKK1,0.2550688,0.155411859
ZNF263,DDI2,0.1991065,0.099325463
ZNF263,SLC9A7,0.1247042,0.024758121
ZNF263,PLXDC2,0.4737138,0.374541821
ZNF263,PPM1D,0.1321145,0.032184934
ZNF263,KHSRP,0.1200347,0.020078298
ZNF263,PLPP3,0.4588095,0.359604424
ZNF263,CDK13,0.2884336,0.188850668
ZNF263,EIF3G,0.3168733,0.217353505
ZNF263,DLK1,0.1043869,0.004395759
ZNF263,TOP3B,0.4676054,0.368419881
ZNF263,ACVR1,0.2124200,0.112668542
ZNF263,RNF8,0.1672288,0.067377112
ZNF263,TRIM41,0.2081047,0.108343629
ZNF263,SLC39A13,0.1103201,0.010342187
ZNF263,PAXBP1,0.1174850,0.017522923
ZNF263,TJP2,0.6018569,0.502969150
ZNF263,HOMER1,0.1166803,0.016716498
ZNF263,RAB36,0.1498742,0.049983982
ZNF263,KMT2B,0.2299197,0.130207021
TRIM28,ZNF263,0.1310291,0.031097117
TRIM28,COMT,0.1203660,0.020410341
TRIM28,ZNF280B,0.3880966,0.288734759
TRIM28,ZNF595,0.2766274,0.177018337
TRIM28,ZNF718,0.1281647,0.028226304
TRIM28,YPEL1,0.1797396,0.079915610
TRIM28,ID3,0.3307286,0.231239453
TRIM28,ARHGEF10L,0.1919687,0.092171813
TRIM28,PRKAR2B,0.1459791,0.046080221
TRIM28,BCR,0.1209732,0.021018889
TRIM28,TLE4,0.2184130,0.118674760
TRIM28,NUP214,0.1169641,0.017000876
TRIM28,SNHG3,0.1258975,0.025954128
TRIM28,FANK1,0.1054840,0.005495293
TRIM28,CEBPB,0.1429721,0.043066600
TRIM28,ESR1,0.3113172,0.211785011
TRIM28,SERTAD2,0.1751811,0.075346995
TRIM28,ZNF74,0.1043123,0.004321008
CEBPB,ABCF2,0.2656330,0.165999518
CEBPB,ARL4A,0.1964106,0.096623597
CEBPB,ALG3,0.1920274,0.092230694
CEBPB,TRIB1,0.1631575,0.063296698
CEBPB,UBAC1,0.1504462,0.050557215
CEBPB,TIMM44,0.2165667,0.116824442
CEBPB,CHL1,0.1555514,0.055673787
CEBPB,KDM5B,0.2745147,0.174900918
CEBPB,ZNF460,0.3562752,0.256842746
CEBPB,FAXDC2,0.1138405,0.013870392
CEBPB,USP20,0.1169892,0.017026085
CEBPB,ME3,0.1202854,0.020329528
CEBPB,MRPS30,0.1410548,0.041144983
CEBPB,TBC1D8,0.1414246,0.041515618
CEBPB,EGLN3,0.3686820,0.269277040
CEBPB,SLC25A25,0.1686556,0.068807045
CEBPB,ACAP3,0.1573643,0.057490698
CEBPB,RFFL,0.1265620,0.026620124
CEBPB,AFMID,0.2669784,0.167347903
CEBPB,PUSL1,0.3659881,0.266577213
CEBPB,GOLT1A,0.1771973,0.077367729
