V2,V4,X
TRIM28,SNAP29,7.584127e-03
TRIM28,SEC22B,2.964006e-03
TRIM28,RAB36,1.333425e-03
TRIM28,PDE4DIP,1.895292e-03
TRIM28,CBX1,9.880720e-04
TRIM28,CBX3,3.864146e-03
TRIM28,CBX5,7.760000e-05
TRIM28,CEBPB,6.987731e-03
TRIM28,CHD3,1.410176e-03
TRIM28,ESR1,5.216257e-03
TRIM28,NR3C1,5.881961e-03
TRIM28,SERTAD2,2.087890e-02
TRIM28,SETDB1,2.588980e-03
TRIM28,SPG7,8.328847e-03
TRIM28,TRIM24,2.252736e-03
TRIM28,TRIM28,4.424692e-02
TRIM28,VIM,1.437732e-02
TRIM28,ZNF197,1.094810e-03
TRIM28,ZNF354A,2.094785e-02
TRIM28,ZNF382,1.830168e-03
TRIM28,ZNF689,1.333425e-03
TRIM28,ZNF74,8.217550e-04
CEBPB,ABCF2,7.162055e-03
CEBPB,HIPK3,5.777680e-04
CEBPB,RASGRP1,1.493980e-04
CEBPB,LRPPRC,1.480337e-03
CEBPB,OPTN,1.107591e-03
CEBPB,SUGP2,2.570790e-02
CEBPB,ALG3,3.686300e-04
CEBPB,EIF1,9.187134e-03
CEBPB,FLOT1,4.329430e-04
CEBPB,HNRNPR,2.656019e-03
CEBPB,SRRM1,2.375783e-02
CEBPB,APC2,7.473969e-03
CEBPB,NDRG1,6.001724e-03
CEBPB,WFDC2,5.116700e-04
CEBPB,RAPGEF3,2.308599e-03
CEBPB,PRMT5,3.070080e-04
CEBPB,UBAC1,4.741445e-03
CEBPB,TIMM44,7.580560e-04
CEBPB,CLGN,5.873770e-04
CEBPB,SEC23A,2.448305e-02
CEBPB,CEBPB,2.268790e-02
CEBPB,ATG7,7.280450e-04
CEBPB,CD226,6.247847e-03
CEBPB,STAG2,6.741546e-03
CEBPB,CHL1,5.516840e-03
CEBPB,KDM5B,2.363943e-02
CEBPB,NEK6,2.615570e-04
CEBPB,NCKAP1,1.203074e-03
CEBPB,ZNF460,7.570000e-05
CEBPB,FAXDC2,1.459471e-02
CEBPB,USP20,5.070210e-04
CEBPB,ME3,1.257200e-03
CEBPB,MRPS30,3.686300e-04
CEBPB,SUB1,8.712851e-03
CEBPB,MLLT11,2.174630e-03
CEBPB,SLC27A2,1.813982e-02
CEBPB,TBC1D8,2.599988e-03
CEBPB,NISCH,8.160000e-05
CEBPB,EGLN3,1.170284e-02
CEBPB,PDAP1,9.405200e-04
CEBPB,SLC25A25,1.099095e-03
CEBPB,ESCO1,2.045054e-02
CEBPB,ZBED9,5.116700e-04
CEBPB,OSBPL10,8.940150e-04
CEBPB,NOSTRIN,5.116700e-04
CEBPB,ACAP3,8.872770e-03
CEBPB,RFFL,4.831994e-03
CEBPB,SLC36A4,1.921751e-03
CEBPB,LRRK2,1.409044e-02
CEBPB,CLTC,4.320216e-03
CEBPB,AFMID,1.260771e-02
CEBPB,COL4A2,1.336560e-04
CEBPB,NUP35,2.460860e-02
CEBPB,RBM45,2.055273e-03
CEBPB,C2orf76,2.851251e-03
CEBPB,SCLT1,4.666645e-03
CEBPB,C4orf33,4.404540e-04
CEBPB,PRRC1,4.576868e-03
CEBPB,AMDHD1,5.873770e-04
CEBPB,ISM2,5.873770e-04
CEBPB,CSTF1,4.404540e-04
CEBPB,PDIK1L,1.201515e-02
CEBPB,PUS10,4.454267e-03
CEBPB,CTSH,1.799296e-02
