V2,V4,X
ZNF263,YDJC,6.671297e-02
ZNF263,ARL6IP6,2.213740e-01
ZNF263,DBP,3.026890e-01
ZNF263,PAQR7,2.099201e-03
ZNF263,PPP1R18,5.136739e-02
ZNF263,TRDMT1,2.077602e-01
ZNF263,DPAGT1,3.713417e-02
ZNF263,DUSP6,7.504955e-02
ZNF263,ECE1,2.239540e-03
ZNF263,EGR1,4.053963e-02
ZNF263,MUC20,9.928827e-02
ZNF263,UNC13D,8.880677e-02
ZNF263,ETFB,1.624599e-01
ZNF263,ETS2,2.953711e-02
ZNF263,ETV3,1.138857e-02
ZNF263,BPTF,9.772937e-02
ZNF263,NYAP1,2.227045e-01
ZNF263,ALDOA,9.395779e-02
ZNF263,RAB11FIP2,5.315317e-02
ZNF263,SBNO2,4.965793e-02
ZNF263,SIRT2,6.219229e-02
ZNF263,ACIN1,5.502709e-02
ZNF263,SETD1B,1.767076e-01
ZNF263,IQSEC2,3.316466e-02
ZNF263,TBC1D9,8.645761e-02
ZNF263,FBXO28,9.665198e-02
ZNF263,FBXW11,3.511401e-02
ZNF263,PIP5K1C,5.554365e-02
ZNF263,COTL1,2.281261e-01
ZNF263,ABCB10,2.238030e-01
ZNF263,LRRC8B,2.500855e-02
ZNF263,FOSL2,2.649379e-01
ZNF263,ELP5,2.859468e-02
ZNF263,LEMD3,2.038810e-02
ZNF263,SDF2L1,2.386516e-02
ZNF263,PPIL2,4.887594e-02
ZNF263,ABL1,2.083865e-01
ZNF263,MSRB3,2.232013e-01
ZNF263,DSTYK,8.677657e-02
ZNF263,MDS2,4.542134e-02
ZNF263,GAMT,8.261966e-02
ZNF263,ULK3,6.464255e-02
ZNF263,EDRF1,2.193873e-01
ZNF263,TIPRL,1.684173e-01
ZNF263,GART,3.164543e-02
ZNF263,ARL5A,8.854281e-02
ZNF263,CNNM1,1.008243e-01
ZNF263,MDGA1,1.426526e-01
ZNF263,NPTN,7.365660e-02
ZNF263,TRMT2A,2.589993e-02
ZNF263,TAF5L,3.402074e-01
ZNF263,RSPH14,1.092140e-03
ZNF263,GLS2,3.903580e-02
ZNF263,GPR162,1.979729e-02
ZNF263,AHDC1,1.157061e-01
ZNF263,GNAZ,2.114069e-01
ZNF263,ZNF740,2.096495e-01
ZNF263,MKNK2,6.472935e-02
ZNF263,GPX1,1.012522e-01
ZNF263,GIT1,1.974254e-01
ZNF263,C19orf53,1.478915e-02
ZNF263,NDUFAF4,3.558200e-04
ZNF263,USP25,2.856690e-01
ZNF263,YPEL1,2.443996e-01
ZNF263,ZDHHC8,5.853076e-02
ZNF263,ANAPC2,6.857287e-02
ZNF263,HDGF,7.253901e-02
ZNF263,EHD2,1.697156e-02
ZNF263,HIVEP2,6.810693e-02
ZNF263,HK1,1.173667e-01
ZNF263,FAM149B1,3.042787e-01
ZNF263,APBB2,4.879247e-03
ZNF263,APC,7.728169e-02
ZNF263,HYAL1,5.844088e-02
ZNF263,ZNF260,1.955597e-01
ZNF263,IREB2,3.344558e-02
ZNF263,MAST4,5.491417e-02
ZNF263,RHOC,2.373453e-01
ZNF263,ARL3,6.859747e-02
ZNF263,LTA4H,3.994161e-02
ZNF263,SMAD3,2.073916e-02
ZNF263,SMAD7,1.222527e-01
ZNF263,ARSB,2.014348e-01
ZNF263,MARK1,7.330620e-02
ZNF263,MBD1,1.642571e-01
ZNF263,MEF2C,5.667415e-02
ZNF263,ARVCF,6.429052e-02
ZNF263,MST1,1.636720e-01
ZNF263,ATM,2.482066e-02
ZNF263,NFKBIB,1.978228e-01
ZNF263,NFKBIL1,2.168451e-02
ZNF263,NID1,2.287116e-01
ZNF263,NPAT,6.414832e-02
ZNF263,P4HB,1.020275e-01
ZNF263,HDDC2,9.755082e-02
ZNF263,ZNF593,7.556146e-02
ZNF263,KCTD3,1.343140e-01
ZNF263,PCSK5,4.698350e-03
ZNF263,CSAD,1.277596e-01
ZNF263,NOP16,1.108378e-01
ZNF263,MED15,1.714103e-01
ZNF263,MPP6,9.179414e-02
ZNF263,PI4KA,4.457235e-02
ZNF263,PLAUR,2.267551e-01
ZNF263,POLR2A,3.335909e-02
ZNF263,NLE1,1.716705e-01
ZNF263,DGCR8,2.648785e-01
ZNF263,RC3H2,2.912319e-02
ZNF263,DIRAS2,1.211864e-01
ZNF263,WBP1L,2.418165e-01
ZNF263,POLR2J3,1.484085e-01
ZNF263,THG1L,1.039334e-02
ZNF263,LARP1B,1.660058e-02
ZNF263,WRAP53,1.685921e-01
ZNF263,LRRC1,1.616682e-01
ZNF263,IMP3,3.441407e-03
ZNF263,FGGY,1.210306e-02
ZNF263,ANKRD30BL,4.532485e-02
ZNF263,MAML3,1.382289e-02
ZNF263,PRKAB2,1.034019e-01
ZNF263,NBPF1,5.080165e-02
ZNF263,TMEM30A,1.600992e-02
ZNF263,ZNF302,1.395023e-01
ZNF263,PSMB5,2.455429e-01
ZNF263,CMC2,7.827039e-02
ZNF263,UTP3,2.576718e-02
ZNF263,RTN4,1.970590e-02
ZNF263,SNX14,1.759934e-01
ZNF263,ARID1B,7.697922e-03
ZNF263,SRGAP1,1.244718e-01
ZNF263,POGK,9.285560e-02
ZNF263,PTPN4,8.209742e-02
ZNF263,ZNF462,1.067710e-01
ZNF263,BBS4,7.486417e-02
ZNF263,RALA,1.057834e-01
ZNF263,RANBP1,1.143490e-01
ZNF263,RAP1A,1.029166e-01
ZNF263,BRD2,1.669080e-01
ZNF263,RNPEP,1.427699e-01
ZNF263,ZFAND3,5.644190e-02
ZNF263,BCR,1.482868e-01
ZNF263,RPL27,1.371282e-01
ZNF263,RPL38,1.612855e-02
ZNF263,CEACAM1,2.195062e-01
ZNF263,SDC2,1.334438e-02
ZNF263,SRSF2,1.611067e-02
ZNF263,SRSF3,1.962602e-02
ZNF263,SDHAF1,9.020222e-02
ZNF263,UNKL,8.495995e-03
ZNF263,SPATA20,2.307053e-01
ZNF263,MRPL40,1.583053e-01
ZNF263,SLC1A3,1.781565e-02
ZNF263,RTN4R,2.032743e-01
ZNF263,INTS3,2.839563e-01
ZNF263,SLC2A5,1.759601e-01
ZNF263,BMPR1A,9.506964e-02
ZNF263,SLC25A1,7.611092e-02
ZNF263,SNCA,1.866852e-02
ZNF263,FSCN1,7.210908e-02
ZNF263,SON,1.577361e-01
ZNF263,SPI1,6.104159e-02
ZNF263,KLF9,1.701631e-01
ZNF263,TAF13,1.675591e-01
ZNF263,TALDO1,2.911374e-01
ZNF263,PPP1R11,4.506148e-02
ZNF263,NR2F1,1.646373e-02
ZNF263,TFDP1,2.436552e-02
ZNF263,TGFB1,9.657612e-02
ZNF263,TGFB2,7.216755e-03
ZNF263,TGIF1,3.875357e-02
ZNF263,TIAL1,5.487399e-03
ZNF263,TNFRSF1A,2.127006e-01
ZNF263,TP53,6.832168e-02
ZNF263,TPD52,2.110941e-01
ZNF263,TPD52L2,1.903708e-01
ZNF263,C3,2.277647e-01
ZNF263,TMEM242,6.336580e-02
ZNF263,UBTF,2.412692e-01
ZNF263,CA5A,1.401158e-01
ZNF263,ZFAND5,9.332053e-02
ZNF263,PHF23,5.430304e-02
ZNF263,MFSD11,1.163148e-01
ZNF263,C1orf35,2.991189e-01
ZNF263,NEIL1,1.168162e-01
ZNF263,PARP8,4.922939e-02
ZNF263,ZNF668,1.546533e-01
ZNF263,MCTP1,7.215494e-02
ZNF263,NUP214,3.483626e-02
ZNF263,PRR7,6.852422e-02
ZNF263,THAP7,1.465797e-01
ZNF263,ZNF34,1.871508e-02
ZNF263,TRIM11,2.712077e-01
ZNF263,TSC22D4,1.221916e-01
ZNF263,PPP1R14C,3.373703e-01
ZNF263,ARPC5L,6.066103e-02
ZNF263,LZTR1,9.093306e-03
ZNF263,NUF2,1.248845e-02
ZNF263,AIF1L,1.125632e-01
ZNF263,TRAPPC9,1.618963e-02
ZNF263,ADGRV1,1.958653e-01
ZNF263,TMEM164,6.594061e-02
ZNF263,LTBP4,5.169486e-02
ZNF263,CAMKK1,1.301126e-01
ZNF263,EFCAB2,1.504732e-01
ZNF263,DDI2,9.840053e-02
ZNF263,SLC9A7,1.583533e-01
ZNF263,CREB3L3,1.004972e-03
ZNF263,TUBA1C,1.127415e-01
ZNF263,C19orf48,2.332123e-02
ZNF263,TRIM52,2.537125e-01
ZNF263,LINGO1,6.101359e-02
ZNF263,PLXDC2,1.116763e-01
ZNF263,PPM1D,3.612486e-01
ZNF263,PDXK,1.066567e-01
ZNF263,KHSRP,3.042174e-01
ZNF263,PLPP3,1.441303e-01
ZNF263,CDK13,9.384693e-02
ZNF263,SSNA1,3.732345e-02
ZNF263,EIF3G,5.800483e-02
ZNF263,RGS9,8.353166e-02
ZNF263,SYNJ2,3.254785e-02
ZNF263,CCND2,2.159352e-02
ZNF263,TOP3B,2.207192e-01
ZNF263,ACVR1,1.127723e-01
ZNF263,RNF8,1.962252e-01
ZNF263,TRIM41,3.001019e-01
ZNF263,SCARF2,8.392025e-02
ZNF263,SLC16A3,3.464703e-02
ZNF263,SLC39A13,5.865491e-02
ZNF263,XPR1,1.391363e-01
ZNF263,ITGB1BP1,3.503370e-02
ZNF263,ADGRG1,4.413580e-02
ZNF263,HNRNPLL,1.531560e-01
ZNF263,TCEAL1,5.510636e-02
ZNF263,SNAP29,2.852518e-01
ZNF263,LHX2,1.032244e-01
ZNF263,PAXBP1,1.940554e-01
ZNF263,TJP2,5.925172e-03
