V2,V4,X
ZNF263,WBP1L,0.298118615
ZNF263,POLR2J3,0.014257560
ZNF263,THG1L,0.240697436
ZNF263,LARP1B,0.198592930
ZNF263,WRAP53,0.026463004
ZNF263,LRRC1,0.010525147
ZNF263,IMP3,0.184049214
ZNF263,FGGY,0.190004856
ZNF263,ANKRD30BL,0.132576170
ZNF263,MAML3,0.304134502
ZNF263,PRKAB2,0.281731730
ZNF263,NBPF1,0.287915402
ZNF263,TMEM30A,0.114871879
ZNF263,ZNF302,0.320154717
ZNF263,PSMB5,0.211635280
ZNF263,CMC2,0.249671755
ZNF263,UTP3,0.208964701
ZNF263,RTN4,0.262868770
ZNF263,SNX14,0.218230985
ZNF263,ARID1B,0.238277594
ZNF263,SRGAP1,0.296441439
ZNF263,POGK,0.233205686
ZNF263,PTPN4,0.120076678
ZNF263,ZNF462,0.164836069
ZNF263,BBS4,0.133811398
ZNF263,RALA,0.293982472
ZNF263,RANBP1,0.224353913
ZNF263,RAP1A,0.345511161
ZNF263,BRD2,0.177336430
ZNF263,RNPEP,0.138872126
ZNF263,ZFAND3,0.186242150
ZNF263,BCR,0.132036867
ZNF263,RPL27,0.300389359
ZNF263,RPL38,0.189591336
ZNF263,CEACAM1,0.135510577
ZNF263,SDC2,0.149051423
ZNF263,SRSF2,0.234192789
ZNF263,SRSF3,0.297351687
ZNF263,SDHAF1,0.187709945
ZNF263,UNKL,0.123911256
ZNF263,SPATA20,0.139800250
ZNF263,MRPL40,0.171880126
ZNF263,SLC1A3,0.081926245
ZNF263,RTN4R,0.086167948
ZNF263,INTS3,0.079351959
ZNF263,SLC2A5,0.025369178
ZNF263,BMPR1A,0.214713392
ZNF263,SLC25A1,0.200758459
ZNF263,SNCA,0.094891759
ZNF263,FSCN1,0.234857881
ZNF263,SON,0.247400400
ZNF263,SPI1,0.086880184
ZNF263,KLF9,0.151735669
ZNF263,TAF13,0.286723457
ZNF263,TALDO1,0.249198925
ZNF263,PPP1R11,0.165400223
ZNF263,NR2F1,0.163968179
ZNF263,TFDP1,0.003963618
ZNF263,TGFB1,0.198605964
ZNF263,TGFB2,0.138249013
ZNF263,TGIF1,0.042913544
ZNF263,TIAL1,0.046846087
ZNF263,TNFRSF1A,0.179319386
ZNF263,TP53,0.127166298
ZNF263,TPD52,0.182981314
ZNF263,TPD52L2,0.130503673
